Age,Income,Family,ZIP Code,Education,CCAvg,Experience,Personal Loan,Mortgage,Securities Account,CD Account,Online,CreditCard
28,135,2,94611,1,3/30,3,No,0,No,No,No,Yes
31,135,4,94901,2,3/80,7,Yes,0,No,Yes,Yes,Yes
58,12,3,91320,3,0/30,32,No,0,No,No,No,No
46,29,3,92220,2,0/50,20,No,0,No,No,No,No
54,133,2,93305,3,2/60,30,Yes,0,No,No,No,No
50,19,2,94720,1,0/40,26,No,118,No,No,Yes,No
60,41,4,95134,1,1/30,36,No,174,No,No,Yes,Yes
47,40,3,94612,2,2/70,22,No,0,No,No,Yes,No
41,82,1,92507,3,4/00,16,No,0,No,No,Yes,No
33,50,1,94305,2,2/40,9,No,0,No,No,No,No
46,18,1,91730,3,0/90,22,No,0,No,No,Yes,No
27,109,4,94005,3,1/80,2,No,0,No,No,No,No
40,42,4,94501,2,2/20,16,No,126,No,No,No,No
48,78,3,94305,1,1/10,22,No,0,No,No,Yes,No
65,51,2,94117,1,1/10,41,No,0,No,No,Yes,No
55,118,4,90277,2,5/60,30,Yes,0,No,No,Yes,No
35,29,4,94105,3,1/10,10,No,0,No,No,Yes,No
43,34,3,94305,2,0/60,19,No,0,No,No,No,No
60,64,2,94550,3,1/70,34,No,236,Yes,No,Yes,No
65,121,1,92612,1,2/00,39,No,0,No,No,No,No
38,48,4,95617,3,0/20,12,No,0,No,No,Yes,No
41,80,1,95014,1,5/20,15,No,0,No,No,No,No
54,161,1,92121,1,2/90,28,No,0,No,No,Yes,No
49,94,1,92374,1,0/30,23,No,0,No,No,Yes,No
66,15,3,91711,3,0/10,41,No,0,No,No,Yes,No
48,74,1,94080,1,1/20,23,No,0,No,No,Yes,No
61,30,3,94608,2,1/30,36,No,0,No,No,No,No
53,44,3,93555,3,1/00,23,No,198,No,No,Yes,Yes
43,22,2,95670,2,0/30,18,No,0,No,No,Yes,No
56,38,4,93311,1,1/30,32,No,166,No,No,Yes,Yes
43,69,4,92717,1,2/90,17,No,0,No,No,Yes,Yes
42,43,1,92037,1,0/70,18,No,136,No,No,No,No
33,32,1,95136,3,0/60,7,No,166,No,No,Yes,No
43,49,1,94542,1,2/80,17,No,0,No,No,Yes,No
41,9,3,91330,2,1/00,14,No,0,No,No,No,No
62,45,4,94143,2,1/30,38,No,0,No,No,Yes,No
40,82,3,91775,1,1/00,15,No,309,No,No,No,No
58,92,2,92703,1,2/80,34,No,103,No,No,No,No
39,39,3,92354,3,0/50,14,No,0,No,No,Yes,No
65,81,3,92024,2,1/80,40,No,0,No,No,Yes,No
54,35,1,92831,2,1/50,29,No,0,No,No,Yes,No
58,61,2,92833,3,2/30,33,No,193,No,No,Yes,No
41,73,3,92647,1,3/00,16,No,0,No,No,Yes,No
32,112,1,94304,1,4/60,7,No,366,No,No,No,No
54,12,2,90057,3,0/20,29,No,0,No,No,Yes,No
52,38,3,91711,3,0/90,26,No,0,No,No,Yes,No
58,73,2,94523,2,0/70,32,No,0,No,No,Yes,Yes
37,84,1,92130,2,3/60,13,No,0,Yes,No,No,No
39,78,4,92121,1,2/40,15,No,118,No,No,Yes,No
60,80,3,91301,1,0/50,35,No,0,No,No,Yes,No
31,115,2,92096,1,1/30,5,No,101,No,No,Yes,Yes
34,82,1,92646,2,2/70,8,No,251,No,No,Yes,No
38,74,2,92182,1,0/00,14,No,0,Yes,No,Yes,No
41,70,3,92131,3,0/50,16,No,0,No,No,No,Yes
28,81,3,94801,1,1/50,4,No,276,No,No,Yes,No
58,149,4,93720,2,7/20,34,Yes,0,No,Yes,Yes,Yes
31,51,2,90840,3,1/75,1,No,0,No,No,No,No
30,39,3,90245,2,1/10,4,No,0,No,No,Yes,No
53,98,3,95035,2,1/80,29,No,0,No,No,No,No
58,45,4,93010,1,2/10,33,No,0,No,No,Yes,Yes
59,49,4,95035,2,2/50,32,No,0,No,No,Yes,No
49,128,2,95054,1,0/40,25,No,0,No,No,No,No
59,42,3,94928,1,1/50,34,No,0,Yes,Yes,No,Yes
59,18,1,93305,3,1/20,35,No,0,No,No,Yes,No
51,31,2,90245,3,0/40,25,No,161,No,No,Yes,Yes
35,58,3,95831,1,2/00,11,No,149,No,No,Yes,Yes
33,48,1,91770,3,2/10,9,No,0,No,No,No,Yes
25,54,4,94117,1,1/60,1,No,0,No,No,Yes,Yes
49,70,2,92093,2,1/50,23,No,0,No,No,No,No
59,124,1,90007,1,7/40,35,No,0,No,No,No,Yes
46,84,1,94102,2,2/67,19,No,0,No,No,Yes,Yes
50,83,4,94542,3,3/60,25,No,188,No,No,Yes,No
52,163,2,91423,1,0/40,28,No,116,No,No,Yes,No
48,42,3,93955,2,2/20,22,No,0,No,No,No,No
46,118,2,94107,1,7/50,22,No,0,No,Yes,Yes,Yes
57,24,1,93117,1,1/30,32,No,0,No,No,Yes,Yes
60,22,2,94551,1,1/00,36,No,0,Yes,Yes,Yes,Yes
54,58,4,92612,3,1/30,29,No,0,No,No,No,No
41,83,4,94025,1,2/67,17,No,0,No,No,Yes,Yes
32,79,2,94720,3,1/50,6,No,0,No,No,Yes,Yes
61,41,4,94545,2,1/70,35,No,0,Yes,No,Yes,No
61,80,2,95053,1,2/80,35,No,0,No,No,Yes,No
38,52,1,90036,1,2/00,12,No,0,No,No,No,No
28,70,4,91125,1,2/60,4,No,0,No,No,Yes,No
53,92,2,95120,1,1/10,27,No,0,Yes,No,No,No
27,43,1,94706,1,1/50,1,No,0,No,No,Yes,No
25,21,3,95827,2,1/00,1,No,0,No,No,No,No
33,23,3,94305,3,0/90,9,No,0,No,No,Yes,Yes
50,13,4,91320,1,1/00,26,No,0,No,No,Yes,No
27,112,4,90503,3,2/10,1,No,0,No,No,No,Yes
27,138,2,90250,1,2/00,1,No,0,No,No,Yes,No
52,11,3,95817,1,0/40,28,No,0,Yes,No,No,No
38,171,2,92717,1,7/80,13,No,0,No,No,Yes,No
58,42,4,90095,1,1/50,34,No,0,No,No,Yes,Yes
42,168,2,95503,2,7/90,17,Yes,0,No,No,Yes,No
45,85,4,91711,2,1/10,20,No,0,Yes,No,Yes,No
52,44,3,93111,2,1/00,25,No,135,No,No,Yes,No
29,65,4,94132,2,1/80,3,No,244,No,No,No,No
53,24,4,95818,1,0/20,29,No,0,No,No,Yes,Yes
62,11,1,91942,1,0/10,37,No,0,No,No,Yes,No
51,38,2,90401,3,1/00,27,No,164,No,No,Yes,No
36,10,4,93524,2,0/70,12,No,81,No,No,No,No
29,148,3,92173,1,4/10,3,Yes,0,No,No,Yes,No
52,63,2,92717,2,1/50,26,No,0,Yes,No,Yes,No
39,115,1,91320,3,1/00,14,No,0,No,No,Yes,No
48,45,1,95616,1,0/30,23,No,0,No,No,Yes,Yes
46,159,3,94305,3,1/90,21,Yes,315,No,No,Yes,No
64,169,2,91320,1,2/10,40,No,122,No,No,Yes,No
55,112,2,94043,1,1/40,29,No,0,No,No,Yes,No
60,93,1,92521,1,4/30,36,No,0,No,No,Yes,No
51,29,1,90404,3,0/30,25,No,140,No,No,No,No
50,85,1,92122,2,2/67,23,No,0,No,No,Yes,No
48,21,4,93118,1,0/60,24,No,0,No,No,Yes,Yes
53,144,2,92697,1,6/80,29,No,0,No,No,Yes,No
34,13,4,94577,1,1/00,10,No,95,Yes,No,Yes,No
48,165,1,93407,1,5/00,24,No,0,No,No,No,Yes
55,9,4,91345,1,0/70,31,No,89,No,No,Yes,No
27,59,4,94123,1,0/00,3,No,90,Yes,No,Yes,No
36,158,1,92152,3,5/10,11,Yes,0,No,Yes,Yes,Yes
32,29,1,91355,3,1/90,6,No,0,No,No,Yes,Yes
35,20,2,94609,3,1/40,9,No,0,No,No,Yes,Yes
30,68,4,94306,2,2/00,3,No,0,No,No,Yes,No
58,65,4,95747,1,2/20,34,No,0,No,No,Yes,No
56,61,2,96150,2,1/90,31,No,105,No,No,No,No
38,91,4,95616,2,1/40,12,No,100,No,No,No,Yes
49,31,1,91355,1,1/00,25,No,0,Yes,No,Yes,No
34,71,4,94115,2,0/10,10,No,0,No,No,No,No
40,73,4,94110,1,2/67,16,No,0,No,No,Yes,Yes
64,172,4,94707,1,3/10,39,Yes,282,No,Yes,Yes,Yes
51,20,2,92131,1,0/00,26,No,0,No,No,No,No
44,55,1,94720,1,0/20,18,No,0,No,No,No,No
46,69,2,91604,1,1/70,22,No,209,No,No,No,No
57,155,1,91326,1,7/40,33,No,0,No,No,Yes,No
54,94,1,90291,2,1/90,28,No,0,No,No,No,No
38,92,2,95818,1,0/00,14,No,249,No,No,Yes,Yes
27,125,2,95521,1,0/60,3,No,0,No,No,No,No
39,74,3,94305,1,3/00,14,No,0,No,No,No,No
44,72,3,92807,3,0/30,20,No,0,No,No,Yes,No
56,61,1,94707,3,2/20,30,No,0,No,No,Yes,Yes
32,25,2,92130,1,0/30,6,No,0,No,No,No,Yes
45,83,2,95051,2,1/70,19,No,0,No,No,Yes,No
26,104,3,94306,1,2/50,2,No,0,No,No,No,No
55,41,3,95014,3,1/00,25,No,0,No,No,Yes,No
52,58,4,94305,3,1/80,27,No,91,No,No,No,No
39,93,1,94720,3,1/50,13,No,0,No,No,No,Yes
47,148,2,94551,1,7/50,23,No,0,No,Yes,Yes,Yes
47,53,4,92677,3,1/90,22,No,98,Yes,Yes,No,Yes
48,71,2,93117,1,1/70,24,No,145,No,No,No,Yes
47,92,1,94720,2,2/80,22,No,0,No,No,Yes,No
35,61,4,94304,3,2/10,10,No,0,No,No,Yes,No
46,38,3,94122,2,2/50,19,No,135,No,No,No,No
62,58,4,91320,1,1/70,37,No,0,No,No,Yes,No
26,80,1,95616,2,0/80,1,No,150,No,No,No,No
38,71,4,94720,3,1/80,8,No,0,No,No,Yes,No
43,89,3,93407,3,0/50,18,No,0,No,No,Yes,Yes
62,83,1,92521,3,1/80,38,No,0,No,No,Yes,No
57,28,3,95831,1,0/20,32,No,0,No,No,Yes,Yes
28,52,4,94112,2,1/70,3,No,0,No,No,No,No
51,70,1,90089,1,1/20,26,No,169,No,No,No,No
48,71,1,91711,3,1/40,22,No,0,No,No,No,Yes
41,75,1,94005,3,3/70,16,No,280,No,No,No,No
65,170,3,90095,3,7/90,39,Yes,99,No,Yes,Yes,No
41,78,4,94025,1,0/80,17,No,78,No,No,Yes,No
35,25,2,92614,2,1/00,11,No,0,No,No,No,No
38,60,2,94025,3,0/60,14,No,0,No,No,Yes,Yes
53,120,4,92626,2,2/70,29,Yes,111,Yes,Yes,Yes,No
55,99,2,92121,1,1/40,29,No,264,No,No,Yes,Yes
26,55,3,90089,3,2/60,1,No,113,No,No,No,Yes
30,29,3,94305,2,1/00,6,No,117,No,No,No,No
54,170,2,92182,2,6/20,28,Yes,325,No,No,Yes,No
65,53,3,91711,1,2/20,40,No,0,No,No,No,Yes
47,138,1,94583,1,0/00,21,No,0,No,No,No,No
65,134,3,91942,3,3/90,41,Yes,121,No,No,Yes,No
66,42,2,92103,3,0/70,40,No,138,No,No,No,Yes
66,18,3,92691,1,0/50,41,No,0,No,No,No,Yes
35,24,4,95747,1,0/30,9,No,0,No,No,Yes,No
56,55,1,94107,1,1/40,30,No,77,No,No,Yes,No
51,58,1,92407,1,0/00,27,No,0,No,No,No,Yes
42,111,2,93106,3,1/20,16,Yes,251,No,No,Yes,No
49,33,1,90245,3,0/30,23,No,0,No,Yes,Yes,Yes
27,74,4,92121,2,1/80,1,No,112,No,No,Yes,Yes
45,38,2,90840,1,0/70,19,No,0,No,No,No,No
49,23,4,94305,3,0/60,23,No,98,Yes,No,No,No
63,61,2,94720,1,1/50,38,No,0,No,No,Yes,No
47,81,1,90504,1,2/90,22,No,138,No,No,No,No
64,129,1,94002,1,2/50,39,No,0,No,No,Yes,No
43,33,1,95039,3,0/75,13,No,0,No,No,No,No
60,63,4,94063,1,2/20,36,No,0,No,No,Yes,No
40,70,4,94923,2,1/40,14,No,0,No,No,Yes,No
29,45,4,95023,1,0/20,3,No,158,No,No,Yes,Yes
41,65,3,90095,3,0/50,16,No,0,No,No,Yes,No
30,74,4,95616,1,2/20,5,No,0,Yes,No,No,Yes
49,50,4,94706,3,1/80,24,No,0,Yes,No,No,No
30,22,4,90058,3,0/50,5,No,109,No,No,Yes,No
29,30,4,92126,3,1/00,2,No,0,No,No,No,No
50,21,4,91125,1,1/00,26,No,0,No,No,Yes,No
39,155,2,94577,1,3/90,14,No,0,No,No,Yes,No
33,64,4,92121,3,2/10,8,No,164,No,No,Yes,No
57,65,4,94118,3,2/60,31,No,0,No,No,No,Yes
34,71,4,91711,3,0/70,9,No,0,No,No,Yes,No
61,40,3,90029,2,0/50,36,No,0,Yes,No,Yes,No
44,69,3,92806,3,0/50,19,No,0,No,No,Yes,No
40,69,3,94305,2,2/33,13,No,0,No,No,No,No
51,45,3,94806,2,0/60,25,No,131,No,No,Yes,No
37,62,3,92110,2,0/70,12,No,0,No,No,No,Yes
44,172,2,94306,3,4/30,19,Yes,391,Yes,Yes,Yes,No
42,24,3,92121,2,1/00,15,No,0,No,No,Yes,Yes
51,80,1,92373,1,4/90,25,No,0,No,No,No,No
43,8,3,90089,2,0/67,16,No,88,No,No,Yes,No
30,38,4,94542,1,0/80,5,No,129,No,No,Yes,Yes
45,93,4,90095,3,2/60,19,No,0,No,No,No,No
35,55,1,94536,1,2/00,9,No,0,No,No,Yes,No
60,64,2,94304,3,1/70,34,No,0,No,No,No,Yes
34,122,1,90623,1,0/00,9,No,0,No,No,Yes,No
55,70,3,93720,3,1/40,25,No,0,No,No,Yes,No
43,81,2,92069,1,3/20,19,No,0,No,No,No,No
41,159,1,90057,3,5/50,15,Yes,0,No,Yes,Yes,No
34,70,4,92843,1,1/30,9,No,0,Yes,No,No,No
65,150,2,92120,1,6/90,39,No,196,No,No,No,No
45,152,2,94550,1,7/50,21,No,0,No,No,Yes,No
49,195,4,95605,1,3/00,25,Yes,617,No,No,No,No
48,22,1,90740,1,0/10,23,No,0,No,No,No,No
60,22,1,91207,1,1/30,35,No,123,No,No,Yes,No
55,79,3,92373,1,0/80,29,No,0,No,No,Yes,Yes
42,33,1,90401,3,1/40,18,No,0,No,No,Yes,No
32,128,2,94720,1,4/33,8,No,0,No,Yes,Yes,Yes
62,91,1,95929,1,3/80,38,No,0,Yes,No,Yes,No
57,39,4,90277,1,0/90,32,No,0,No,No,Yes,Yes
52,121,1,94550,1,7/30,26,No,167,No,No,Yes,No
36,21,1,91741,3,0/67,6,No,0,Yes,No,Yes,No
34,41,3,93720,1,2/30,9,No,0,No,No,No,Yes
63,45,2,93437,3,0/70,37,No,0,No,No,Yes,No
57,165,1,95054,2,1/60,31,Yes,0,No,No,Yes,No
40,119,2,91335,2,4/20,16,Yes,0,No,No,Yes,No
27,110,4,95670,3,1/80,2,No,190,No,No,Yes,No
65,20,3,90034,2,0/70,39,No,0,No,No,No,Yes
60,64,1,90266,2,0/80,34,No,248,No,No,No,No
44,101,3,92717,2,4/40,20,Yes,82,No,No,No,No
63,101,1,92007,1,3/90,39,Yes,0,Yes,Yes,Yes,No
59,99,1,90034,1,4/40,34,Yes,0,No,No,No,No
56,158,4,90089,1,6/10,30,Yes,0,No,No,No,No
54,89,1,95039,2,1/90,28,No,0,No,No,Yes,Yes
52,80,1,95616,3,1/30,27,No,0,No,Yes,Yes,Yes
58,114,2,91330,1,2/00,32,No,402,No,No,Yes,No
60,49,3,94110,2,0/50,35,No,0,No,No,Yes,Yes
28,191,1,90064,1,6/33,4,No,0,No,No,Yes,No
54,78,4,92374,2,1/00,30,No,0,No,No,Yes,No
32,28,3,94115,1,1/00,6,No,0,No,No,No,No
59,42,1,95630,2,0/80,33,No,0,No,No,Yes,No
63,140,1,92407,1,2/50,38,No,0,No,No,No,No
48,45,1,95053,2,1/30,23,No,0,No,No,Yes,No
56,122,2,95827,1,0/30,32,No,360,No,Yes,Yes,Yes
36,65,3,95051,2,2/60,12,No,0,No,No,Yes,No
57,68,1,94117,3,1/40,27,No,0,No,No,Yes,No
29,153,2,93657,1,2/00,3,No,392,No,No,No,No
39,89,4,92110,2,1/40,13,No,0,No,No,No,No
59,91,1,93524,1,2/60,34,No,0,No,No,Yes,Yes
31,55,4,92038,2,2/00,6,No,185,No,No,Yes,No
43,118,2,91304,1,3/30,19,No,0,No,No,No,Yes
35,22,1,93407,3,0/67,5,No,103,No,No,No,No
54,63,3,92606,3,1/40,24,No,138,No,No,Yes,Yes
51,12,4,92192,2,0/50,27,No,78,Yes,No,Yes,No
44,50,3,90745,2,2/70,19,No,0,No,No,Yes,No
40,173,4,95060,1,6/60,15,Yes,0,No,Yes,Yes,Yes
26,60,2,93407,1,3/00,2,Yes,132,No,No,No,No
39,113,1,94301,3,1/00,14,No,0,Yes,No,Yes,No
28,155,4,92182,2,5/30,4,Yes,0,No,No,Yes,No
52,91,4,92692,2,1/00,28,No,0,No,No,No,Yes
53,55,4,95818,2,1/10,29,No,0,No,No,Yes,No
44,173,2,90277,1,1/40,20,No,419,No,No,Yes,No
43,71,3,92101,3,0/30,19,No,0,No,No,No,Yes
56,24,2,94704,3,0/40,30,No,88,No,No,No,No
38,42,1,94610,2,2/00,14,No,81,No,No,Yes,No
30,141,2,94539,1,4/33,6,No,0,No,No,Yes,No
32,32,1,93106,3,1/90,6,No,0,No,No,Yes,No
35,55,4,94539,1,1/30,10,No,0,No,No,No,No
43,153,2,90254,1,7/50,19,No,0,No,No,Yes,No
58,113,2,94590,1,1/40,32,No,270,No,No,No,Yes
54,29,3,92028,3,1/00,24,No,148,No,No,No,Yes
57,174,1,90089,2,6/80,32,Yes,466,No,No,Yes,No
50,35,1,92717,3,0/30,24,No,0,No,No,Yes,No
32,98,2,95054,2,2/00,8,No,175,No,No,Yes,No
63,30,2,92054,3,1/00,37,No,159,No,No,Yes,No
31,58,2,95051,1,2/50,6,No,0,No,No,No,Yes
36,25,4,92101,1,1/00,12,No,147,No,No,No,No
58,19,4,92029,1,0/70,34,No,0,No,No,No,No
56,44,4,93105,2,0/70,30,No,174,No,No,Yes,No
49,20,4,90291,1,1/00,25,No,111,No,No,Yes,Yes
30,98,2,91941,1,3/10,5,No,220,No,No,Yes,No
33,90,3,92346,1,1/60,7,No,0,No,No,Yes,No
45,61,3,94304,1,0/70,21,No,0,No,No,No,No
30,40,4,94402,2,2/00,5,No,0,No,No,Yes,No
47,38,2,94618,3,2/10,23,No,0,No,No,No,No
63,34,1,94305,3,1/50,33,No,0,No,No,Yes,Yes
55,73,2,95616,3,2/30,29,No,0,No,No,Yes,Yes
65,133,4,94904,1,2/00,41,Yes,0,No,No,No,Yes
44,53,1,94608,1,0/20,18,No,0,No,No,Yes,No
51,21,4,9307,3,0/60,25,No,0,No,No,Yes,Yes
35,40,3,93943,1,0/90,9,No,0,No,No,Yes,No
30,41,4,95051,2,1/70,5,No,0,No,No,Yes,No
31,82,4,95482,2,1/80,5,No,0,No,No,Yes,No
54,100,4,95814,3,3/40,30,Yes,0,No,No,No,No
45,155,1,90024,1,7/00,20,No,0,No,No,Yes,Yes
45,45,1,92521,1,0/20,19,No,0,No,No,Yes,No
58,9,3,94080,3,0/30,32,No,0,No,No,No,Yes
54,48,4,91709,3,1/80,29,No,0,No,No,Yes,No
53,18,4,90095,3,0/10,28,No,109,Yes,Yes,Yes,Yes
33,80,4,91311,1,3/40,9,No,0,No,No,Yes,Yes
60,64,2,94509,1,2/80,35,No,0,No,No,No,No
50,29,4,93023,1,0/10,24,No,0,No,No,No,No
26,48,3,90503,2,0/70,2,No,0,No,No,Yes,No
54,23,2,94608,1,0/40,30,No,0,No,No,No,No
28,84,4,90024,1,0/20,3,No,0,No,No,Yes,Yes
36,179,3,94542,1,6/60,10,Yes,0,No,No,Yes,No
29,30,4,95747,2,1/50,2,No,112,No,No,No,Yes
54,93,1,91604,1,4/90,28,No,133,No,Yes,Yes,Yes
55,39,2,92647,2,1/90,30,No,0,No,No,No,No
61,60,3,92866,2,0/50,36,No,182,No,No,No,No
36,133,1,90245,1,3/80,11,No,290,Yes,Yes,Yes,Yes
45,125,1,92354,1,2/40,19,No,0,No,No,No,No
64,58,1,93437,3,1/80,40,No,0,No,No,Yes,No
60,89,2,91745,1,2/80,36,No,0,No,No,Yes,No
49,82,1,90019,2,2/67,22,No,125,No,No,Yes,No
47,110,2,94111,1,3/30,23,No,0,No,No,Yes,Yes
60,54,4,92182,3,2/30,36,No,0,Yes,No,No,No
45,89,4,93311,3,1/90,20,No,0,No,No,Yes,No
32,42,3,92407,1,2/30,7,No,0,No,No,Yes,No
52,41,3,94309,2,1/90,28,No,0,No,No,No,Yes
35,38,4,93106,2,1/00,8,No,124,No,No,Yes,No
40,85,2,94304,1,0/40,15,No,0,No,No,Yes,No
53,83,4,90073,2,1/00,29,No,0,No,No,Yes,No
58,50,4,94501,1,2/10,33,No,0,No,No,No,Yes
47,58,4,93105,3,3/60,22,No,0,No,No,Yes,Yes
28,115,4,92333,2,3/10,3,Yes,0,No,No,No,No
46,145,2,91380,1,6/30,20,No,0,Yes,Yes,Yes,No
43,161,2,95616,1,7/50,19,No,0,No,No,No,No
56,38,1,92029,1,0/20,30,No,0,No,No,No,No
28,28,4,90505,1,0/80,3,No,0,No,No,Yes,No
42,75,3,92182,1,2/33,18,No,0,No,No,No,Yes
32,35,3,92521,1,1/30,7,No,116,No,No,No,Yes
62,24,2,94720,1,1/00,38,No,116,No,No,No,Yes
37,78,4,94998,2,0/10,13,No,0,No,No,Yes,No
51,113,1,94086,3,1/30,26,No,161,No,No,Yes,No
39,75,3,94305,1,2/10,13,No,224,No,No,Yes,No
43,91,1,91311,1,5/70,17,No,0,No,No,Yes,No
52,31,4,91330,1,0/20,28,No,141,No,No,Yes,Yes
30,45,1,95819,2,1/80,6,No,0,No,No,Yes,No
52,80,3,94709,1,0/80,26,No,0,No,No,No,No
61,50,3,92122,3,1/40,35,No,112,No,No,Yes,No
36,31,4,95825,2,1/00,9,No,0,Yes,No,Yes,No
58,113,2,93943,2,3/80,32,Yes,119,No,Yes,Yes,Yes
47,29,4,94304,1,0/60,23,No,0,No,No,Yes,No
64,59,2,92626,1,1/50,39,No,139,No,No,Yes,No
52,43,1,93555,2,1/30,27,No,0,Yes,No,Yes,No
58,122,1,95136,3,3/00,28,Yes,115,No,No,Yes,No
48,29,1,90509,1,1/00,24,No,0,No,No,No,No
64,91,2,93106,3,0/00,40,No,0,No,No,Yes,Yes
58,65,3,94590,3,2/20,32,No,0,No,No,Yes,No
47,22,1,93108,1,1/00,23,No,0,No,No,No,Yes
49,71,1,95134,3,1/40,23,No,0,No,No,No,No
31,60,4,94588,2,2/00,4,No,0,No,No,Yes,Yes
61,60,3,91706,3,2/00,37,No,0,No,No,Yes,No
51,69,1,95747,1,0/30,25,No,0,No,No,Yes,Yes
39,21,3,94022,2,0/20,13,No,0,No,No,No,No
54,53,4,92109,2,2/80,28,No,0,Yes,No,No,No
50,29,3,94110,3,0/90,24,No,0,No,No,No,No
30,60,4,91107,2,2/20,4,No,0,No,No,Yes,No
64,42,3,92068,2,0/50,39,No,116,No,No,Yes,No
29,69,3,94303,3,0/30,3,No,0,No,No,No,No
